::ffff:127.0.0.1 - - [20/Dec/2024:12:48:46 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [20/Dec/2024:16:08:24 +0000] "POST / HTTP/1.1" 500 1187 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:09:13 +0000] "POST / HTTP/1.1" 500 1187 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:28:40 +0000] "POST / HTTP/1.1" 404 23 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:28:51 +0000] "POST /api/v1 HTTP/1.1" 404 23 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:28:56 +0000] "POST /api/v1/ HTTP/1.1" 404 23 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:29:31 +0000] "GET /api/v1/ HTTP/1.1" 200 120092 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:29:40 +0000] "GET /api/v1/ HTTP/1.1" 200 120092 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:29:46 +0000] "GET /api/v HTTP/1.1" 404 23 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:29:50 +0000] "GET /api/v1 HTTP/1.1" 200 120092 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:36:34 +0000] "GET /api/v1/Amazonas HTTP/1.1" 200 549 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:36:39 +0000] "GET /api/v1/amazonas HTTP/1.1" 200 4 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:56:20 +0000] "GET /api/v1/ HTTP/1.1" 200 34918 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:56:29 +0000] "GET /api/v1/amazonas HTTP/1.1" 200 347 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:56:34 +0000] "GET /api/v1/Amazonas HTTP/1.1" 200 4 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:57:10 +0000] "GET /api/v1/Amazonas HTTP/1.1" 200 347 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:16:57:50 +0000] "GET /api/v1/Amazonas HTTP/1.1" 200 347 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:17:03:11 +0000] "GET /api/v1/Santander HTTP/1.1" 200 154 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:17:13:49 +0000] "GET /api/v1/Santander HTTP/1.1" - - "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:17:14:33 +0000] "GET /api/v1/ HTTP/1.1" 200 118671 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:17:15:16 +0000] "GET /api/v1/Santander HTTP/1.1" 200 154 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:20:25:33 +0000] "GET /api/v1/Santander HTTP/1.1" 200 154 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:22:17:35 +0000] "GET /api/v1/Santander HTTP/1.1" 200 17318 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:22:40:35 +0000] "GET /api/v1/santander HTTP/1.1" 200 17318 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:23:18:38 +0000] "GET /api/v1/santander HTTP/1.1" 200 17318 "-" "PostmanRuntime/7.42.0"
::1 - - [20/Dec/2024:23:18:39 +0000] "GET /api/v1/santander HTTP/1.1" 200 17318 "-" "PostmanRuntime/7.42.0"
